Datetime,Transaction,Description
10/17/18 9:03,Add/Drop,"BULO added Albert Wilson, Mia WR from Free Agency to Bench. BULO dropped Cairo Santos, FA K to Waivers."
10/3/18 4:31,Add/Drop,"BULO dropped Brandon McManus, Den K to Waivers. BULO added Cairo Santos, FA K from Waivers to Bench for $4."
10/17/18 9:03,Add/Drop,"BULO added Albert Wilson, Mia WR from Free Agency to Bench. BULO dropped Cairo Santos, LAR K to Waivers."
10/3/18 4:31,Add/Drop,"BULO dropped Brandon McManus, Den K to Waivers. BULO added Cairo Santos, LAR K from Waivers to Bench for $4."
10/17/18 10:35,Add/Drop,"LURI added Christian Kirk, Ari WR from Free Agency to Bench. LURI dropped Marquise Goodwin, SF WR to Free Agency."
10/17/18 9:03,Add/Drop,"BULO added Albert Wilson, Mia WR from Free Agency to Bench. BULO dropped Cairo Santos, LAR K to Waivers."
10/17/18 8:57,Add,"BULO added Dan Bailey, Min K from Free Agency to Bench."
10/17/18 5:08,Add/Drop,"POSN added Frank Gore, Mia RB from Free Agency to Bench. POSN dropped Alfred Blue, Hou RB to Waivers."
10/17/18 4:38,Add/Drop,"LURI added Austin Hooper, Atl TE from Free Agency to Bench. LURI dropped Rod Smith, Dal RB to Free Agency."
10/17/18 4:31,Add/Drop,"LURI added Colts D/ST, Ind D/ST from Waivers to Bench. LURI dropped Cowboys D/ST, Dal D/ST to Waivers for $0."
10/17/18 4:31,Add/Drop,"LURI added Marquise Goodwin, SF WR from Waivers to Bench. LURI dropped Quincy Enunwa, NYJ WR to Waivers for $0."
10/17/18 4:31,Add/Drop,"POSN dropped Mike Davis, Sea RB to Waivers. POSN added Josh Reynolds, LAR WR from Waivers to Bench for $4."
10/17/18 4:31,Add/Drop,"SHAR dropped Randall Cobb, GB WR to Waivers. SHAR added Jason Myers, NYJ K from Waivers to Bench for $5."
10/17/18 4:31,Add/Drop,"SHAR dropped Packers D/ST, GB D/ST to Waivers. SHAR added Chargers D/ST, LAC D/ST from Waivers to Bench for $5."
10/17/18 4:31,Add/Drop,"EA added Raheem Mostert, SF RB from Waivers to Bench. EA dropped Mike Williams, LAC WR to Waivers for $15."
10/17/18 4:31,Add/Drop,"POSN dropped Sebastian Janikowski, Sea K to Waivers. POSN added Joe Flacco, Bal QB from Waivers to Bench for $16."
10/17/18 4:31,Add/Drop,"AMIT added Greg Zuerlein, LAR K from Waivers to Bench. AMIT dropped Graham Gano, Car K to Waivers for $32."
10/17/18 4:31,Add/Drop,"AMIT added O.J. Howard, TB TE from Waivers to Bench. AMIT dropped C.J. Uzomah, Cin TE to Waivers for $62."
10/17/18 4:31,Add/Drop,"AMIT added Peyton Barber, TB RB from Waivers to Bench. AMIT dropped Nyheim Hines, Ind RB to Waivers for $103."
10/17/18 4:31,Add/Drop,"SHAR added Jameis Winston, TB QB from Waivers to Bench. SHAR dropped Dion Lewis, Ten RB to Waivers for $150."
10/17/18 4:31,Add/Drop,"AMIT added Ito Smith, Atl RB from Waivers to Bench. AMIT dropped Jamaal Charles, Jax RB to Waivers for $414."
10/17/18 4:31,Add/Drop,"LURI dropped Ronald Jones, TB RB to Waivers. LURI added Rod Smith, Dal RB from Waivers to Bench for $0."
10/16/18 22:19,Trade Upheld ,"SHAR traded David Johnson, Ari RB to JOSE. SHAR traded Matt Breida, SF RB to JOSE. JOSE traded Antonio Brown, Pit WR to SHAR. JOSE traded Dion Lewis, Ten RB to SHAR."
10/16/18 16:58,Drop,"BULO dropped Jordy Nelson, Oak WR to Waivers."
10/16/18 1:43,Accepted Trade,"SHAR traded David Johnson, Ari RB to JOSE. SHAR traded Matt Breida, SF RB to JOSE. JOSE traded Antonio Brown, Pit WR to SHAR. JOSE traded Dion Lewis, Ten RB to SHAR."
9/15/18 20:03,Add/Drop,"AMIT added Dez Bryant, FA WR from Free Agency to Bench. AMIT dropped Marquise Goodwin, SF WR to Waivers."
10/14/18 12:23,Add/Drop,"GABE added Ty Montgomery, GB RB from Free Agency to Bench. GABE dropped Chris Hogan, NE WR to Waivers."
10/14/18 11:37,Add/Drop,"AMIT dropped Cameron Brate, TB TE to Waivers. AMIT added C.J. Uzomah, Cin TE from Free Agency to Bench."
10/14/18 11:31,Add/Drop,"AMIT added Latavius Murray, Min RB from Free Agency to Bench. AMIT dropped C.J. Uzomah, Cin TE to Free Agency."
10/14/18 11:26,Add/Drop,"AMIT added C.J. Uzomah, Cin TE from Free Agency to Bench. AMIT dropped Ravens D/ST, Bal D/ST to Waivers."
10/14/18 10:36,Add/Drop,"POSN added Alfred Blue, Hou RB from Free Agency to Bench. POSN dropped Jameis Winston, TB QB to Waivers."
10/14/18 2:48,Trade Upheld ,"SHAR traded George Kittle, SF TE to AA. AA traded Tyler Lockett, Sea WR to SHAR."
10/14/18 2:48,Trade Upheld ,"POSN traded Jarvis Landry, Cle WR to BULO. BULO traded Aaron Rodgers, GB QB to POSN."
10/14/18 1:19,Accepted Trade,"SHAR traded George Kittle, SF TE to AA. AA traded Tyler Lockett, Sea WR to SHAR."
10/13/18 22:24,Accepted Trade,"POSN traded Jarvis Landry, Cle WR to BULO. BULO traded Aaron Rodgers, GB QB to POSN."
10/12/18 12:34,Add/Drop,"BULO dropped Robby Anderson, NYJ WR to Free Agency. BULO added Jordy Nelson, Oak WR from Free Agency to Bench."
10/12/18 12:33,Add/Drop,"BULO dropped Jordy Nelson, Oak WR to Free Agency. BULO added Robby Anderson, NYJ WR from Free Agency to Bench."
